Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Origin,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,CPI,Adm Level,Geo Locations
2000,Biological,Epidemic,,Southwestern districts,notgiven,notgiven,Vaccinated,2000,10.0,notgiven,2000,10.0,,10.0,notgiven,22340.0,22340.0,58.8406484917497,,
2001,Meteorological,Storm,Convective storm,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts (Rangpur province)",notgiven,150.0,Kph,2001,10.0,5.0,2001,10.0,5.0,12.0,450.0,25000.0,25450.0,60.5035788853056,2,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur (Adm2)."
2001,Hydrological,Flood,Riverine flood,"Nilphamari district (Rangpur province), Brahamanbaria district (Chittagong province), Sylhet province",notgiven,notgiven,Km2,2001,6.0,5.0,2001,6.0,5.0,9.0,notgiven,500000.0,500000.0,60.5035788853056,1;2,"Sylhet (Adm1). Brahamanbaria, Nilphamari (Adm2)."
2001,Meteorological,Storm,Tropical cyclone,"Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province)",notgiven,100.0,Kph,2001,5.0,11.0,2001,5.0,11.0,12.0,200.0,notgiven,200.0,60.5035788853056,2,"Chuadanga, Gaibandha, Gopalganj, Jhenaidah, Maulvibazar, Meherpur, Mymensingh, Naogaon, Netrakona, Noakhali, Patuakhali, Tangail (Adm2)."
2001,Meteorological,Storm,Tropical cyclone,"Patuakhali district (Barisal province), Satkhira district (Khulna province)",notgiven,notgiven,Kph,2001,4.0,1.0,2001,4.0,1.0,193.0,2000.0,500.0,2500.0,60.5035788853056,2,"Patuakhali, Satkhira (Adm2)."
2001,Meteorological,Extreme temperature,Cold wave,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari districts (Rangpur province), Satkhira, Jessore districts (Khulna province), Sylhet, Sunamganj districts (Sylhet province)",notgiven,7.0,°C,2001,12.0,notgiven,2001,12.0,,6.0,2000.0,notgiven,2000.0,60.5035788853056,2,"Dinajpur, Jessore, Nilphamari, Panchagarh, Satkhira, Sunamganj, Sylhet, Thakurgaon (Adm2)."
2001,Meteorological,Storm,,"Sirajganj, Pabna districts (Rajshahi province), Sylhet district (Sylhet province)",notgiven,80.0,Kph,2001,4.0,28.0,2001,4.0,28.0,21.0,100.0,500.0,600.0,60.5035788853056,2,"Pabna, Sirajganj, Sylhet (Adm2)."
2001,Hydrological,Flood,,"Sunamganj, Sylhet districts (Sylhet province), Nawabganj, Rajshahi districts (Rajshahi province), Kushtia district (Khulna province)",notgiven,notgiven,Km2,2001,8.0,31.0,2001,8.0,31.0,notgiven,notgiven,200000.0,200000.0,60.5035788853056,2,"Kushtia, Nawabganj, Rajshahi, Sunamganj, Sylhet (Adm2)."
2002,Hydrological,Flood,Flash flood,"Mymensingh, Netrakona, Sherpur districts (Dhaka province), Sunamganj district (Sylhet province), Rangpur, Nilphamari, Kurigram, Gaibandha districts (Rangpur province), Noakhali, Lakshmipur, Cox's Bazar districts (Chittagong province), Jessore, Satkhira districts (Khulna province), Barguna, Bhola, Barisal, Patuakhali districts (Barisal province), Rajshahi province",notgiven,1000.0,Km2,2002,7.0,notgiven,2002,8.0,,10.0,notgiven,1500000.0,1500000.0,61.4631882611914,1;2,"Rajshahi (Adm1). Barguna, Barisal, Bhola, Cox's Bazar, Gaibandha, Jessore, Kurigram, Lakshmipur, Mymensingh, Netrakona, Nilphamari, Noakhali, Patuakhali, Rangpur, Satkhira, Sherpur, Sunamganj (Adm2)."
2002,Meteorological,Storm,Tropical cyclone,"Gaibandha, Lalmonirhat, Nilphamari, Rangpur, Kurigram districts (Rangpur province), Bogra, Sirajganj districts (Rajshahi province), Netrakona, Kishoreganj districts (Dhaka province)",notgiven,notgiven,Kph,2002,4.0,22.0,2002,4.0,22.0,31.0,400.0,100000.0,100400.0,61.4631882611914,2,"Bogra, Gaibandha, Kishoreganj, Kurigram, Lalmonirhat, Netrakona, Nilphamari, Rangpur, Sirajganj (Adm2)."
